Date,Open,High,Low,Close,Volume ,Market Cap
2018-02-15,621023.06,2.00E+06,574739.99,688803.43,18.29445237,1.68E+11
2018-02-14,539999.96,896649.36,526069.42,609839.76,14.96916614,1.57E+11
2018-02-13,560200.07,753640.08,4.00E+05,540001.01,14.84780508,1.45E+11
2018-02-12,630999.23,763991.26,510000,589792,14.81825102,1.49E+11
2018-02-11,610797.11,1006002.48,498922.32,520000.01,8.44587968,1.41E+11
2018-02-10,567497.6,900001.64,4.00E+05,588978.72,10.59755424,1.40E+11
2018-02-09,518903.66,2.00E+06,505189.05,556735.28,18.51092934,1.44E+11
2018-02-08,583167.91,2.00E+06,515507.78,598899.94,29.56289165,1.39E+11
2018-02-07,559249.99,2.00E+06,459495.47,575049.74,22.13552599,1.37E+11
2018-02-06,590346.65,2.00E+06,4.00E+05,540275.46,40.55045936,1.30E+11
2018-02-05,675000.11,2.00E+06,450203.98,523404.91,23.43992417,1.15E+11
2018-02-04,659999.97,2.00E+06,560889.66,680000,11.81458668,1.42E+11
2018-02-03,649605.85,2.00E+06,4.00E+05,615000.03,17.51858187,1.53E+11
2018-02-02,547500.01,2.00E+06,482183.33,657598.82,24.98238735,1.50E+11
2018-02-01,709990.05,2.00E+06,4.00E+05,548871.74,21.48576374,1.53E+11
2018-01-31,708207.77,2.00E+06,620897.86,790201.5,19.45059245,1.70E+11
2018-01-30,793965.38,2.00E+06,678999.59,710151.62,14.71514458,1.71E+11
2018-01-29,752349.97,2.00E+06,600000.24,735949.91,13.7961303,1.89E+11
2018-01-28,789330.77,2.00E+06,599998.59,756169.97,10.45154082,1.98E+11
2018-01-27,745037.12,1045988.63,706663.84,745453.64,7.52946682,1.94E+11
2018-01-26,884599.13,1185677.02,674657.61,739500.43,11.01392118,1.85E+11
2018-01-25,755000,1098234.92,700010.5,750000.02,18.50916294,1.89E+11
2018-01-24,805000.04,1344510.7,703187.9,809800,12.00669454,1.90E+11
2018-01-23,899895.61,1080000.25,647865.02,749356.07,12.23141157,1.89E+11
2018-01-22,971026.77,1131999.99,720951.94,950661.44,14.33635424,1.77E+11
2018-01-21,1057007.96,1338688.09,750009.42,783899.99,12.39362723,1.93E+11
2018-01-20,832488.12,1402098.24,807337.08,859075.58,14.38563257,2.18E+11
2018-01-19,842157.89,1329044.95,756580.74,867166.56,15.59258575,1.92E+11
2018-01-18,848557.88,1369262.79,655021.83,881577.67,18.29309687,1.91E+11
2018-01-17,842728.28,1086895.48,613316.98,729207.29,22.78983751,1.87E+11
2018-01-16,956500,1500037.5,649000.12,809467.27,16.1255427,1.88E+11
